F,DT,T,LPos_X,LPos_Y,LPos_Z,LRot_X,LRot_Y,LRot_Z,LRot_W,LGrab,LPinch,RPos_X,RPos_Y,RPos_Z,RRot_X,RRot_Y,RRot_Z,RRot_W,RGrab,RPinch
134604,0.0166662,0.410166898742318,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134606,0.0182749,0.428441798314452,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134610,0.0166682,0.445109998807311,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134614,0.0174666,0.462576597929001,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134618,0.0166692,0.479245798662305,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134620,0.016665,0.495910799130797,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134624,0.0166684,0.512579198926687,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134626,0.0166658,0.529244998469949,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134632,0.0166683,0.545913297683001,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134634,0.0226097,0.568522997200489,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134638,0.0166679,0.585190897807479,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134640,0.0166667,0.601857597008348,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134646,0.0166671,0.618524696677923,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134648,0.0166665,0.635191196575761,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134652,0.0166669,0.651858096942306,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134654,0.0166669,0.66852499730885,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134660,0.0166677,0.685192696750164,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134664,0.018672,0.703864697366953,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134666,0.0193922,0.723256897181273,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134670,0.0166679,0.739924797788262,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134672,0.0177421,0.757666897028685,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134678,0.0166675,0.774334397166967,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134680,0.0202768,0.794611196964979,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134684,0.0166682,0.811279397457838,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134686,0.0174467,0.828726097941399,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134692,0.0166679,0.845393998548388,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
