F,DT,T,LPos_X,LPos_Y,LPos_Z,LRot_X,LRot_Y,LRot_Z,LRot_W,LGrab,LPinch,RPos_X,RPos_Y,RPos_Z,RRot_X,RRot_Y,RRot_Z,RRot_W,RGrab,RPinch
0,0.0166671,0.0166670996695757,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166663,0.0333334002643824,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166678,0.0500012002885342,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166663,0.0666675008833408,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166666,0.0833341013640165,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166675,0.100001601502299,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166665,0.116668101400137,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166669,0.133335001766682,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166669,0.150001902133226,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166677,0.16666960157454,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166662,0.183335801586509,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166701,0.20000590197742,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166664,0.216672301292419,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166671,0.233339400961995,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166668,0.250006200745702,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166681,0.266674300655723,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166662,0.283340500667691,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.016667,0.300007499754429,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166667,0.316674198955297,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166666,0.333340799435973,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.016667,0.350007798522711,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166678,0.366675598546863,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166658,0.383341398090124,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166682,0.400009598582983,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.016666,0.416675599291921,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
0,0.0166676,0.433343200013042,1.138805,0.5448753,-0.2582633,-0.4525957,-0.3125783,0.8068279,0.2155944,0,0,1.071775,0.7292955,-0.37492,0.3832199,-0.1646628,0.8107975,0.4106534,0,0.69576758146286
