F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
19718,0.0166665,0.930921593680978,-1.619446,0.7345344,-1.114985,42.16079,252.2155,352.9129
19722,0.016668,0.947589593008161,-1.639107,0.734584,-1.123427,41.89608,253.6335,352.6821
19724,0.0166663,0.964255893602967,-1.649479,0.7342257,-1.127219,41.73641,254.427,352.5801
19728,0.0166666,0.980922494083643,-1.67088,0.7337164,-1.133985,41.42181,255.8977,352.4368
19730,0.0166686,0.997591093182564,-1.681276,0.733156,-1.136799,41.24574,256.7122,352.397
19734,0.0166664,1.01425749249756,-1.703824,0.7313546,-1.142119,40.9257,258.2592,352.3433
19738,0.0166669,1.03092439286411,-1.714032,0.730292,-1.144179,40.74949,259.0608,352.2936
19742,0.0166667,1.04759109206498,-1.737838,0.7271765,-1.147967,40.33469,260.6786,352.2306
19744,0.0166669,1.06425799243152,-1.750004,0.7254038,-1.149941,40.08464,261.5613,352.2803
19748,0.0166667,1.08092469163239,-1.773373,0.7213299,-1.153308,39.54377,263.327,352.5731
19750,0.0166666,1.09759129211307,-1.786005,0.7186456,-1.155365,39.26974,264.3113,352.8346
19754,0.0166688,1.11426009237766,-1.811271,0.7128065,-1.159395,38.84761,266.3163,353.4893
19758,0.0166676,1.13092769309878,-1.824881,0.7095909,-1.16155,38.70139,267.1583,353.7566
19762,0.0166671,1.14759479276836,-1.850971,0.7030185,-1.166096,38.17281,268.9678,354.1127
19764,0.016667,1.1642617918551,-1.864916,0.6991348,-1.168425,37.73145,270.0544,354.1769
19768,0.0166664,1.1809281911701,-1.891414,0.6909295,-1.172505,36.87722,272.2718,354.2671
19770,0.0166671,1.19759529083967,-1.904434,0.6875419,-1.173787,36.5702,273.3717,354.3542
19776,0.0166676,1.21426289156079,-1.928905,0.6800771,-1.175504,36.35643,275.5717,354.437
19776,0.0166658,1.23092869110405,-1.939778,0.6767222,-1.17601,36.44487,276.6716,354.5217
19782,0.0166676,1.24759629182518,-1.961192,0.6712188,-1.175681,36.71252,278.8997,354.9785
19784,0.016667,1.26426329091191,-1.970679,0.6693928,-1.17497,36.83911,279.9732,355.2446
19788,0.0166667,1.28092999011278,-1.988648,0.6668584,-1.17228,37.11858,282.0892,355.5191
19790,0.016667,1.29759698919952,-1.996588,0.6666308,-1.170457,37.25327,283.2397,355.6911
19794,0.0166678,1.31426478922367,-2.009766,0.6678866,-1.165716,37.48543,285.502,356.2978
19798,0.0166668,1.33093158900738,-2.016052,0.6692552,-1.162694,37.61805,286.582,356.6345
19802,0.0166671,1.34759868867695,-2.025435,0.6734431,-1.156816,37.92381,288.7899,357.2671
19804,0.0166667,1.36426538787782,-2.029232,0.6762982,-1.153671,38.08813,290.0583,357.64
19808,0.0166667,1.38093208707869,-2.034876,0.6820485,-1.14758,38.42667,292.3404,358.3963
19810,0.0166672,1.3975992873311,-2.036798,0.6848683,-1.144758,38.55399,293.5229,358.777
19814,0.0166669,1.41426618769765,-2.039831,0.690797,-1.138903,38.83554,296.0169,359.3612
19818,0.0166669,1.43093308806419,-2.040674,0.6935018,-1.136204,38.94242,297.2306,359.5697
19822,0.0166673,1.44760038889945,-2.040663,0.6981601,-1.131352,39.02119,299.6538,359.9108
19824,0.0166665,1.46426688879728,-2.040725,0.700073,-1.129414,39.02636,300.8032,359.9873
19828,0.016667,1.48093388788402,-2.039613,0.7030919,-1.12593,38.98716,303.4283,359.8089
19830,0.0166674,1.49760128743947,-2.038625,0.7039464,-1.124471,38.92109,304.8874,359.5909
19834,0.0176413,1.51524258777499,-2.036339,0.7050321,-1.122434,38.50777,307.9064,359.1496
19838,0.0166662,1.53190878778696,-2.034993,0.7050121,-1.121842,38.13759,309.4502,358.9579
19842,0.0166692,1.54857798852026,-2.031997,0.7035927,-1.121101,37.13617,312.6959,358.652
19844,0.0166662,1.56524418853223,-2.030406,0.7023652,-1.121146,36.62038,314.1624,358.5344
19848,0.0166674,1.58191158808768,-2.02723,0.6979077,-1.12199,35.38247,317.4793,358.2934
19850,0.0166661,1.59857768751681,-2.025569,0.6951415,-1.12272,34.7802,319.0911,358.2278
19856,0.0166677,1.61524538695812,-2.022229,0.6873496,-1.124917,33.62566,322.3725,358.1851
19858,0.0166665,1.63191188685596,-2.020561,0.6825002,-1.126626,33.11886,324.0099,358.1509
19862,0.0166705,1.64858238771558,-2.01739,0.6710288,-1.13076,32.35918,326.858,357.9684
19864,0.0166644,1.66524678841233,-2.016091,0.6652008,-1.133046,32.01801,328.2585,357.8322
19868,0.0166661,1.68191288784146,-2.017091,0.6505654,-1.139113,31.38391,331.0133,357.5384
19870,0.0166668,1.69857968762517,-2.018112,0.6435242,-1.142018,31.09911,332.2219,357.3804
19876,0.0166672,1.71524688787758,-2.019044,0.627303,-1.149041,30.48784,335.0169,356.9336
19878,0.016667,1.73191388696432,-2.021015,0.6198633,-1.15254,30.26348,336.3653,356.7023
19882,0.0166674,1.74858128651977,-2.023334,0.6038843,-1.160212,29.93271,338.9136,356.2405
19884,0.0166673,1.76524858735502,-2.024351,0.5965014,-1.164019,29.78198,340.2077,355.9545
19888,0.0166662,1.78191478736699,-2.028475,0.5808156,-1.172844,29.56423,342.7052,355.3075
19890,0.0166664,1.79858118668199,-2.030893,0.5738597,-1.177184,29.47267,343.8849,355.0291
19896,0.0166674,1.81524858623743,-2.036781,0.5597553,-1.187296,29.36967,346.3701,354.6983
19898,0.0166662,1.8319147862494,-2.039454,0.5545803,-1.191886,29.40409,347.3825,354.721
19902,0.016669,1.84858378581703,-2.046532,0.5433555,-1.203416,29.65731,349.1408,355.006
19904,0.0166658,1.86524958536029,-2.050535,0.538509,-1.209453,29.8201,349.854,355.1908
19908,0.0166681,1.88191768527031,-2.060174,0.5298694,-1.2234,30.09236,350.9844,355.5866
19910,0.0166654,1.89858308434486,-2.064504,0.5264627,-1.229523,30.15107,351.526,355.791
19914,0.0166682,1.91525128483772,-2.073961,0.520372,-1.243217,29.88379,352.7946,356.1492
19918,0.0166662,1.93191748484969,-2.079007,0.5175602,-1.25067,29.60643,353.3377,356.1879
19922,0.0166673,1.94858478568494,-2.088852,0.5117944,-1.265219,28.9596,354.4816,356.1213
19924,0.0166668,1.96525158546865,-2.093799,0.5088819,-1.272523,28.67758,355.0568,356.1172
19928,0.0166689,1.98192048631608,-2.103441,0.5031614,-1.288557,28.41952,355.8733,356.1994
19930,0.0166647,1.99858518689871,-2.109359,0.49997,-1.297624,28.37655,356.2969,356.1593
19934,0.0166672,2.01525238715112,-2.119488,0.4950228,-1.313273,28.29225,356.864,355.5894
19938,0.0166669,2.03191928751767,-2.124974,0.4926563,-1.321685,28.2592,357.0805,355.0376
19942,0.0166673,2.04858658835292,-2.135214,0.4881457,-1.337965,28.31043,357.4474,353.9545
19944,0.0166663,2.06525288894773,-2.14068,0.4854783,-1.346638,28.36616,357.6112,353.4174
19948,0.0166671,2.0819199886173,-2.151729,0.4797637,-1.363362,28.3813,357.9723,352.3596
19950,0.0166674,2.09858738817275,-2.157615,0.4762036,-1.372843,28.37863,358.1997,351.8484
19954,0.0166668,2.11525418795645,-2.166492,0.4707489,-1.387213,28.34586,358.6272,351.1172
19958,0.0166665,2.13192068785429,-2.171858,0.4681708,-1.395034,28.33862,358.7983,350.777
19962,0.0166672,2.1485878881067,-2.181818,0.4636824,-1.407742,28.27023,359.1512,349.8103
19964,0.0166664,2.1652542874217,-2.187819,0.4620241,-1.414138,28.28901,359.4106,348.9603
19968,0.0166717,2.1819259878248,-2.196702,0.4608176,-1.422767,28.48703,359.9693,347.5452
19970,0.0166643,2.19859028793871,-2.201185,0.4603707,-1.426542,28.62321,0.3290225,346.9945
19974,0.0166665,2.21525678783655,-2.210793,0.4595468,-1.432947,29.06206,1.474847,346.0291
19976,0.016667,2.23192378692329,-2.215588,0.4589337,-1.435788,29.35158,2.163739,345.8231
19982,0.0166687,2.24859248660505,-2.22469,0.4564736,-1.439748,30.12566,3.577327,346.0576
19984,0.0166661,2.26525858603418,-2.230191,0.4546196,-1.442031,30.56214,4.220969,346.3896
19988,0.0166692,2.28192778676748,-2.239362,0.450535,-1.444726,31.56522,5.464827,347.3219
19990,0.0166655,2.29859328642488,-2.243628,0.4483254,-1.445423,31.98845,5.999236,347.799
19994,0.0166673,2.31526058726013,-2.253553,0.4429804,-1.446565,32.6851,6.989597,348.7392
19998,0.0166664,2.33192698657513,-2.258236,0.440262,-1.446545,32.91341,7.397495,349.1788
20002,0.0166671,2.3485940862447,-2.266909,0.4348189,-1.445633,33.1371,8.10945,350.067
20004,0.0166665,2.36526058614254,-2.271386,0.4316765,-1.44472,33.17556,8.374247,350.4342
20008,0.0166672,2.38192778639495,-2.279777,0.4257689,-1.442789,33.26907,8.79185,351.1738
20010,0.0166672,2.39859498664737,-2.283767,0.4232876,-1.441906,33.34702,8.92174,351.4453
20014,0.0166679,2.41526288725436,-2.291289,0.419049,-1.439905,33.7471,9.05018,351.6508
20018,0.0166654,2.43192828632891,-2.294806,0.4176894,-1.439019,34.08106,9.059538,351.5283
