F,DT,T,LPos_X,LPos_Y,LPos_Z,LRot_X,LRot_Y,LRot_Z,LRot_W,LGrab,LPinch,RPos_X,RPos_Y,RPos_Z,RRot_X,RRot_Y,RRot_Z,RRot_W,RGrab,RPinch
169232,0.0166668,0.409489100798965,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169236,0.0166663,0.426155401393771,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169238,0.0166669,0.442822301760316,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169242,0.0166676,0.459489902481437,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169246,0.0166662,0.476156102493405,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169250,0.0166676,0.492823703214526,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169252,0.0166668,0.509490502998233,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169256,0.0166673,0.526157803833485,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169258,0.0166661,0.542823903262615,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169262,0.0166675,0.559491403400898,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169266,0.0166962,0.57618760317564,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169270,0.0166665,0.592854103073478,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169272,0.0166669,0.609521003440022,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169276,0.0166668,0.626187803223729,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169278,0.0166669,0.642854703590274,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169282,0.0166669,0.659521603956819,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169286,0.0166666,0.676188204437494,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169290,0.0166667,0.692854903638363,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169292,0.0166673,0.709522204473615,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169296,0.0166695,0.726191705092788,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169298,0.0166637,0.742855405434966,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
169302,0.0166698,0.759525205940008,0.82113,0.4241651,-0.1329591,-0.7164424,0.1085855,0.6799548,-0.1121646,0,0,-0.6072011,0.07997924,-0.5221855,-0.5290034,0.5157484,-0.673911,0.001731341,0,0.388333410024643
