F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
110610,0.0166674,0.965476397424936,0.08462441,0.7642427,-0.6669443,39.00471,76.71964,3.706191
110614,0.0200007,0.985477097332478,0.111688,0.7699892,-0.6714753,39.32102,75.80323,3.814775
110620,0.0194748,1.00495189800859,0.1351466,0.7746248,-0.6740319,39.55474,74.77802,3.93324
110622,0.0225679,1.02751979790628,0.1454995,0.7765163,-0.6747679,39.62669,74.30119,3.945996
110626,0.0166674,1.04418719746172,0.1668266,0.7798815,-0.6753657,39.7012,72.95354,3.874614
110628,0.0186423,1.06282949820161,0.1759475,0.7811494,-0.6752304,39.66487,72.26409,3.777701
110634,0.0167423,1.07957179844379,0.1989466,0.7836782,-0.673514,39.33274,70.02472,3.357588
110638,0.0203489,1.09992069937289,0.2143105,0.7848057,-0.6713212,38.92986,68.23789,2.926793
110640,0.0197008,1.11962149851024,0.2226942,0.7852166,-0.6697713,38.66394,67.17383,2.649018
110644,0.0166695,1.13629099912941,0.2386546,0.7854781,-0.6660624,38.12098,65.12753,2.079775
110646,0.0166662,1.15295719914138,0.2462749,0.7853128,-0.6639466,37.81617,64.01214,1.761547
110652,0.0184678,1.17142499983311,0.2648844,0.7841442,-0.6577367,37.02193,61.19163,0.9951881
110656,0.0231948,1.19461979903281,0.2810523,0.7822867,-0.6514191,36.24921,58.72201,0.4080485
110660,0.0179304,1.2125501986593,0.2891949,0.7810178,-0.6478679,35.913,57.7897,0.2286934
110664,0.0166689,1.22921909950674,0.3055132,0.7779671,-0.6403774,35.07212,55.69683,359.9321
110666,0.0218868,1.25110589899123,0.3133455,0.7762688,-0.636511,34.69394,54.82572,359.8633
110670,0.0166681,1.26777399890125,0.3301171,0.7724957,-0.6277437,34.00804,53.20006,359.7985
110672,0.0166665,1.28444049879909,0.3371041,0.7708966,-0.6239141,33.74059,52.51947,359.7953
110678,0.0166666,1.30110709927976,0.3548675,0.7665976,-0.6137378,33.18683,50.77042,359.8211
110680,0.0166668,1.31777389906347,0.3630915,0.7646728,-0.6087737,33.0505,50.00537,359.8163
110684,0.0166669,1.33444079943001,0.3799055,0.761308,-0.598297,32.87981,48.59243,359.8076
110686,0.0166669,1.35110769979656,0.3880205,0.7600057,-0.5930409,32.78848,47.89391,359.8315
110692,0.0166663,1.36777400039136,0.4067526,0.7589574,-0.5803487,32.76987,46.21984,-0.004160979
110694,0.0172812,1.38505520112813,0.416301,0.7595479,-0.5734258,32.50919,45.56149,359.974
110698,0.0264632,1.41151840053499,0.4324764,0.7609096,-0.5612461,31.54045,44.25093,359.5129
110700,0.0166686,1.42818699963391,0.4447215,0.7617716,-0.5518919,30.96945,43.27772,359.2455
110704,0.0166666,1.44485360011458,0.4555682,0.7624947,-0.543368,30.77477,42.23024,359.4173
110708,0.0166673,1.46152090094984,0.4658361,0.7636144,-0.5349715,30.86105,41.14428,359.8306
110712,0.0166675,1.47818840108812,0.479232,0.7662786,-0.5237288,31.09516,39.44439,0.3611821
110718,0.0166657,1.49485410191119,0.4924603,0.7705365,-0.5114903,31.19446,37.91776,0.2137946
110720,0.021633,1.51648710109293,0.4966947,0.7722166,-0.5073358,31.19849,37.27872,0.02963133
110724,0.0166681,1.53315520100296,0.5065033,0.7767047,-0.4972307,31.10666,35.97654,359.611
110726,0.0171216,1.5502768009901,0.5109339,0.7790449,-0.4924265,31.0212,35.34277,359.4417
110730,0.0166678,1.56694460101426,0.5186915,0.7835561,-0.4835596,30.82475,34.27394,359.2321
110732,0.0178587,1.58480330184102,0.522735,0.7860205,-0.4786991,30.7244,33.79432,359.1541
110738,0.0166674,1.60147070139647,0.5296701,0.7906545,-0.4698958,30.50823,32.93173,359.0783
110740,0.0166667,1.61813740059733,0.5325423,0.7926513,-0.466039,30.42787,32.6332,359.0894
110744,0.0166668,1.63480420038104,0.5385015,0.7970303,-0.4572921,30.21683,32.055,359.2527
110746,0.0166662,1.65147040039301,0.5406777,0.7987258,-0.4538698,30.10357,31.8353,359.3987
110752,0.0167902,1.66826060041785,0.5454857,0.802582,-0.4456148,29.79714,31.40081,359.8538
110754,0.0216331,1.68989370018244,0.5472711,0.8039498,-0.442046,29.6405,31.23395,0.0521147
110756,0.016668,1.70656169950962,0.5489559,0.8052062,-0.438667,29.4649,31.03232,0.2657085
110760,0.016669,1.72323069907725,0.5511564,0.8067291,-0.4340543,29.24,30.73673,0.5256681
110764,0.0166651,1.73989579826593,0.5529481,0.8078064,-0.4300305,29.01417,30.40644,0.7873771
110766,0.0166729,1.7565686982125,0.5546587,0.8085527,-0.4261288,28.8214,30.13147,1.002617
110770,0.0166619,1.77323059737682,0.5566485,0.8092034,-0.4214743,28.5047,29.72447,1.274111
110774,0.0166668,1.78989739716053,0.5578123,0.8094007,-0.4187275,28.24975,29.41749,1.444543
110778,0.0166668,1.80656419694424,0.5597046,0.8094693,-0.4144051,27.87684,28.88454,1.643854
110780,0.0166674,1.82323159649968,0.5608111,0.8093345,-0.4118943,27.65837,28.50544,1.742833
110784,0.0166662,1.83989779651165,0.562483,0.8087484,-0.4080519,27.35601,27.80909,1.882345
110788,0.0166684,1.85656619630754,0.5643507,0.8079168,-0.404304,27.18205,27.00177,2.08924
110792,0.0178751,1.8744412958622,0.5652851,0.8073888,-0.4025699,27.15272,26.59094,2.208396
110796,0.0166689,1.89111019670963,0.567589,0.8056474,-0.3988642,27.16983,25.62507,2.475126
110798,0.0195283,1.91063849627972,0.5686403,0.8047587,-0.3974483,27.22304,25.0975,2.604224
110800,0.0166694,1.92730789631605,0.5698962,0.803596,-0.3960531,27.30065,24.5658,2.723814
110806,0.0166656,1.94397349655628,0.5730227,0.8007448,-0.393394,27.65706,23.24227,2.882155
110810,0.0173404,1.96131389588118,0.5763876,0.7979296,-0.3914695,28.02814,22.1953,2.909038
110812,0.020147,1.98146089538932,0.5784471,0.7963318,-0.3905387,28.19906,21.59201,2.946712
110818,0.0166673,1.99812819622457,0.5835831,0.7925839,-0.3884479,28.40453,20.31209,3.082662
110820,0.0193604,2.0174885969609,0.5863224,0.7906763,-0.3874424,28.44115,19.58566,3.153696
110824,0.0166673,2.03415589779615,0.5929304,0.7864742,-0.3854789,28.43047,18.06737,3.306309
110826,0.0168507,2.05100659839809,0.5966673,0.7842529,-0.3845218,28.41926,17.38564,3.390457
110832,0.0169705,2.06797709874809,0.6047711,0.7798784,-0.3828836,28.43193,16.06025,3.66185
110834,0.0186325,2.0866095982492,0.6093348,0.7775419,-0.3821617,28.457,15.54162,3.8085
110838,0.0182218,2.10483139753342,0.6206564,0.772378,-0.38051,29.0054,14.37284,3.994802
110842,0.0207601,2.1255914978683,0.6259173,0.7703311,-0.3794519,28.92011,13.96337,3.895877
110846,0.0166668,2.14225829765201,0.6386287,0.7647827,-0.3773213,28.30575,13.32845,4.011487
110848,0.0201917,2.16244999691844,0.6439517,0.7617849,-0.3768437,28.22978,13.11546,4.167332
110854,0.0166675,2.17911749705672,0.6551548,0.754761,-0.3765696,28.7118,12.8252,4.49472
110856,0.0179589,2.19707639701664,0.6603932,0.7513222,-0.376586,29.06842,12.73936,4.619681
110860,0.0171061,2.21418249793351,0.6718989,0.7434582,-0.3771288,29.67939,12.6338,4.631994
110864,0.0201326,2.234315097332,0.6764589,0.7399575,-0.3775318,29.78279,12.58127,4.527792
110868,0.0181382,2.25245329737663,0.6856854,0.7318744,-0.3786845,29.76135,12.37758,4.22913
110872,0.0184246,2.27087789773941,0.6936443,0.7233723,-0.379974,29.4397,12.07969,3.891238
110874,0.0220895,2.29296739771962,0.6972902,0.7186678,-0.3807383,29.23047,11.94144,3.704176
110880,0.0166669,2.30963429808617,0.7051247,0.7065445,-0.3830715,28.57367,11.59397,3.099143
110882,0.0214871,2.33112139813602,0.7079936,0.7010224,-0.3842347,28.28318,11.46984,2.821372
110888,0.0166843,2.3478056974709,0.7148427,0.6858011,-0.3877785,27.50336,11.14012,2.059065
110890,0.0208239,2.36862959712744,0.7174817,0.679163,-0.3894975,27.22681,11.01266,1.803377
110894,0.016668,2.38529759645462,0.7230871,0.6638823,-0.3938496,26.66196,10.7228,1.450175
110896,0.0166656,2.40196319669485,0.7253832,0.6576743,-0.3957707,26.38884,10.57713,1.378616
110902,0.016668,2.41863119602203,0.7309443,0.6432964,-0.40071,25.57518,10.17465,1.425099
