F,DT,T,LeapPos_X,LeapPos_Y,LeapPos_Z,LeapRot_X,LeapRot_Y,LeapRot_Z,LeapRot_W,Grab,Pinch,cmdPos_X,cmdPos_Y,cmdPos_Z,cmdRot_X,cmdRot_Y,cmdRot_Z,cmdRot_W
28268,0.0479419,0.0479419007897377,1.069331,0.09549633,-0.3563052,0.6001046,-0.2095211,0.6897173,0.3467931,0,0,0.3867997,0.1194091,0.1102162,0.9866993,-0.1505313,0.06135199,0.0009067646
28270,0.0178261,0.0657680016011,1.069263,0.09572369,-0.3561223,-0.5998771,0.209788,-0.6896926,-0.3470744,0,0,0.3863052,0.1193311,0.1104964,0.9867831,-0.1500594,0.06116688,-0.0001517406
28274,0.0166684,0.0824364013969898,1.069577,0.09597218,-0.355857,0.599227,-0.209379,0.690268,0.3473006,0,0,0.3861222,0.1192631,0.1107237,0.986813,-0.149861,0.06117084,0.0002512034
28276,0.0166666,0.0991030018776655,1.069583,0.09612074,-0.3556816,-0.5992636,0.2082108,-0.6906992,-0.3470824,0,0,0.385857,0.1195765,0.1109722,0.9869498,-0.1492738,0.06039397,0.0001781894
28280,0.016667,0.115770000964403,1.069702,0.09631822,-0.3553608,0.5989762,-0.2078358,0.6909813,0.3472415,0,0,0.3856816,0.1195834,0.1111208,0.9869757,-0.1494597,0.05950016,-0.0006966048
28282,0.0166666,0.132436601445079,1.069702,0.09647632,-0.3552468,-0.5986902,0.2076466,-0.6911962,-0.3474201,0,0,0.3853608,0.1197017,0.1113182,0.9870365,-0.1492675,0.05897086,-0.0007831248
28286,0.0166669,0.149103501811624,1.069805,0.09701419,-0.3551612,0.5980331,-0.208737,0.6914725,0.3473487,0,0,0.3852468,0.1197016,0.1114763,0.9870923,-0.1490475,0.05859323,-0.0007442303
28290,0.0166664,0.165769901126623,1.069832,0.09737164,-0.3548532,0.5975665,-0.20886,0.6915433,0.3479362,0,0,0.3851612,0.119805,0.1120142,0.987213,-0.1480091,0.05919262,-0.0002442113
28294,0.0166677,0.182437600567937,1.070053,0.09747326,-0.354488,0.5980319,-0.20815,0.6911913,0.3482614,0,0,0.3848532,0.1198325,0.1123716,0.9872813,-0.1476951,0.05883683,0.0003500788
28296,0.016666,0.199103601276875,1.070159,0.09767857,-0.3541308,0.5977905,-0.2077972,0.6911875,0.3488936,0,0,0.384488,0.1200534,0.1124733,0.9871823,-0.1485414,0.05836662,0.0002944628
28300,0.0166676,0.215771201997995,1.07046,0.09795707,-0.3534814,-0.5976777,0.2063233,-0.691802,-0.3487436,0,0,0.3841308,0.1201594,0.1126786,0.9872097,-0.1486136,0.0577116,0.0006784126
28302,0.0166658,0.232437001541257,1.070722,0.09822258,-0.3530516,-0.5976031,0.2068798,-0.6916515,-0.3488403,0,0,0.3834814,0.1204605,0.1129571,0.9872668,-0.1487179,0.05645471,-0.000317178
