F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
169336,0.0166674,0.926192805171013,0.1315878,0.7058451,-0.6808066,46.21746,97.62198,15.49206
169338,0.0166655,0.942858304828405,0.1415012,0.7052956,-0.6817785,46.04471,97.34195,15.57603
169342,0.0166676,0.959525905549526,0.1630735,0.7032468,-0.6829952,45.66036,96.78915,15.73705
169344,0.0166758,0.976201705634594,0.1745103,0.7017639,-0.6832664,45.47793,96.54512,15.82349
169350,0.0166612,0.992862906306982,0.1957755,0.698341,-0.6830965,45.06184,96.01141,16.14678
169352,0.016664,1.00952690653503,0.2062084,0.6964369,-0.6827056,44.88516,95.7653,16.34082
169356,0.0166681,1.02619500644505,0.2277912,0.692224,-0.6812647,44.56804,95.22311,16.7553
169358,0.0166647,1.04285970702767,0.239325,0.689878,-0.6801999,44.46775,95.00906,16.90943
169362,0.016668,1.05952770635486,0.2607392,0.6857978,-0.6777341,44.29517,94.59898,17.26768
169364,0.0166661,1.07619380578399,0.27255,0.6837683,-0.6761258,44.21805,94.42165,17.49688
169370,0.0166693,1.09286310523748,0.2951784,0.6804403,-0.6724018,44.00986,93.95039,18.17664
169372,0.0166655,1.10952860489488,0.3083639,0.6787573,-0.6699662,43.91754,93.67046,18.50282
169376,0.0166662,1.12619480490685,0.332073,0.6761186,-0.6650982,43.7985,93.02299,19.05987
169378,0.0166672,1.14286200515926,0.3441187,0.674984,-0.6623791,43.78358,92.69241,19.21634
169382,0.0166669,1.1595289055258,0.3692247,0.6731321,-0.6563181,43.7863,91.8204,19.38805
169386,0.0166667,1.17619560472667,0.3818825,0.67237,-0.6531345,43.80506,91.26532,19.40538
169390,0.0166672,1.19286280497909,0.4082997,0.6714211,-0.6461936,43.97875,90.02972,19.28593
169392,0.016666,1.20952880568802,0.4218578,0.6712604,-0.6425728,44.1603,89.32838,19.20447
169396,0.0166677,1.22619650512934,0.4509047,0.6712196,-0.6348698,44.26937,87.8397,18.86803
169398,0.0166663,1.24286280572414,0.466373,0.6712483,-0.6307513,44.14327,86.93635,18.56882
169402,0.0166686,1.25953140482306,0.495903,0.6704595,-0.6228827,43.43742,85.04595,17.65291
169404,0.0166651,1.27619650401175,0.5115656,0.6693816,-0.6186364,42.98696,83.99155,17.04194
169410,0.0166676,1.29286410473287,0.5377209,0.6663473,-0.611874,42.64447,82.45549,16.4627
169412,0.0166665,1.30953060463071,0.5510532,0.6641825,-0.6081875,42.7915,81.68432,16.46968
169416,0.0166677,1.32619830407202,0.5751535,0.6596491,-0.6009699,43.74133,79.95348,16.52825
169418,0.0166666,1.3428649045527,0.5868267,0.6573449,-0.5970035,44.36132,79.03889,16.35149
169422,0.0166665,1.35953140445054,0.607999,0.6537058,-0.5891614,45.4066,77.47464,15.82381
169424,0.0166671,1.37619850412011,0.618077,0.6522977,-0.5850751,45.85631,76.68113,15.58958
169430,0.016668,1.39286650344729,0.636658,0.6505605,-0.5761247,46.45196,75.14037,15.1544
