F,DT,T,tau1,tau2,tau3,tau4,tau5,tau6,tau7,con_x,con_y,con_z
25982,0.0440972,0.0440972000360489,-0.112391889095306,-21.5862216949463,0.859407603740692,12.8867635726929,0.637287259101868,2.74742817878723,-0.2378761023283,0,0,0
25986,0.018535,0.0626321993768215,-0.239345014095306,-21.4156284332275,0.708650767803192,12.8867635726929,0.642780423164368,2.70165181159973,-0.17287366092205,0,0,0
25988,0.0166664,0.0792985986918211,-0.239345014095306,-21.4156284332275,0.708650767803192,12.8867635726929,0.642780423164368,2.70165181159973,-0.17287366092205,0,0,0
25992,0.016667,0.0959655977785587,-0.239345014095306,-21.4156284332275,0.708650767803192,12.8867635726929,0.642780423164368,2.70165181159973,-0.17287366092205,0,0,0
25996,0.016668,0.112633597105742,-0.0885881781578064,-21.5148105621338,0.934786021709442,12.8867635726929,0.637287259101868,2.71446919441223,-0.14723889529705,0,0,0
26000,0.0166657,0.12929929792881,-0.0885881781578064,-21.5148105621338,0.934786021709442,12.8867635726929,0.637287259101868,2.71446919441223,-0.14723889529705,0,0,0
26004,0.0166681,0.145967397838831,-0.314723432064056,-21.5862216949463,0.784029185771942,12.8867635726929,0.666584134101868,2.74101948738098,-0.0831519812345505,0,0,0
26006,0.0166656,0.162632998079062,-0.314723432064056,-21.5862216949463,0.784029185771942,12.8867635726929,0.666584134101868,2.74101948738098,-0.0831519812345505,0,0,0
26008,0.0166674,0.179300397634506,-0.314723432064056,-21.5862216949463,0.784029185771942,12.8867635726929,0.666584134101868,2.74101948738098,-0.0831519812345505,0,0,0
26014,0.0166693,0.195969697088003,-0.140162885189056,-21.5862216949463,0.907015025615692,12.4384603500366,0.672992825508118,2.76024556159973,-0.0318824499845505,0,0,0
26016,0.0166668,0.21263649687171,-0.140162885189056,-21.5862216949463,0.907015025615692,12.4384603500366,0.672992825508118,2.76024556159973,-0.0318824499845505,0,0,0
26020,0.016668,0.229304496198893,-0.215541303157806,-21.5624179840088,0.784029185771942,12.3908529281616,0.661090970039368,2.76024556159973,-0.0254737585783005,0,0,0
26022,0.0168809,0.246185395866632,0.0343976616859436,-21.7607822418213,0.982393443584442,12.1409139633179,0.642780423164368,2.77397847175598,0.0322044640779495,0,0,0
26026,0.0166676,0.262852996587753,0.0859723687171936,-21.6854038238525,1.08554291725159,11.9425497055054,0.642780423164368,2.72820210456848,0.0450218468904495,0,0,0
26030,0.0166686,0.279521595686674,0.0859723687171936,-21.8599643707275,1.08554291725159,12.1171102523804,0.654682278633118,2.76024556159973,0.0843895226716995,0,0,0
26032,0.0166667,0.296188294887543,0.0859723687171936,-21.8599643707275,1.08554291725159,12.1171102523804,0.654682278633118,2.76024556159973,0.0843895226716995,0,0,0
26036,0.0166672,0.312855495139956,0.0859723687171936,-21.8599643707275,1.08554291725159,12.1171102523804,0.654682278633118,2.76024556159973,0.0843895226716995,0,0,0
26040,0.0166675,0.329522995278239,-0.187770307064056,-21.9353427886963,0.760225474834442,11.9663534164429,0.678485989570618,2.76024556159973,0.18051989376545,0,0,0
26042,0.0166663,0.346189295873046,-0.187770307064056,-21.9353427886963,0.760225474834442,11.9663534164429,0.678485989570618,2.76024556159973,0.18051989376545,0,0,0
26046,0.0166665,0.362855795770884,-0.187770307064056,-21.9353427886963,0.760225474834442,11.9663534164429,0.678485989570618,2.76024556159973,0.18051989376545,0,0,0
26048,0.0166668,0.37952259555459,-0.0885881781578064,-21.6854038238525,0.859407603740692,12.4384603500366,0.678485989570618,2.81334614753723,0.20615465939045,0,0,0
26052,0.0166688,0.396191395819187,0.0105939507484436,-21.9075717926025,0.934786021709442,12.6368246078491,0.684894680976868,2.81975483894348,0.2253807336092,0,0,0
26056,0.0166652,0.412856595590711,0.0105939507484436,-21.9075717926025,0.934786021709442,12.6368246078491,0.684894680976868,2.81975483894348,0.2253807336092,0,0,0
26060,0.0166669,0.429523495957255,-0.112391889095306,-21.6854038238525,0.883211314678192,12.4384603500366,0.696796536445618,2.79961323738098,0.257424175739288,0,0,0
26062,0.0166677,0.446191195398569,-0.112391889095306,-21.6854038238525,0.883211314678192,12.4384603500366,0.696796536445618,2.79961323738098,0.257424175739288,0,0,0
26066,0.0166667,0.462857894599438,-0.112391889095306,-21.6854038238525,0.883211314678192,12.4384603500366,0.696796536445618,2.79961323738098,0.257424175739288,0,0,0
26068,0.0166661,0.479523994028568,-0.0132097601890564,-21.1934604644775,0.883211314678192,12.4384603500366,0.684894680976868,2.76665425300598,0.283058941364288,0,0,0
26074,0.0166675,0.496191494166851,-0.0370134711265564,-21.4156284332275,0.907015025615692,12.7875814437866,0.696796536445618,2.77397847175598,0.24460680782795,0,0,0
26076,0.0166674,0.512858893722296,-0.0370134711265564,-21.4156284332275,0.907015025615692,12.7875814437866,0.696796536445618,2.77397847175598,0.24460680782795,0,0,0
26080,0.0166666,0.529525494202971,-0.0370134711265564,-20.4991855621338,0.907015025615692,12.7875814437866,0.696796536445618,2.79961323738098,0.270241558551788,0,0,0
26082,0.0166666,0.546192094683647,-0.0370134711265564,-20.4991855621338,0.907015025615692,12.7875814437866,0.696796536445618,2.79961323738098,0.270241558551788,0,0,0
26086,0.0166668,0.562858894467354,-0.0370134711265564,-20.4991855621338,0.907015025615692,12.7875814437866,0.696796536445618,2.79961323738098,0.270241558551788,0,0,0
26088,0.0166667,0.579525593668222,-0.0647844672203064,-20.0310459136963,0.958589732646942,12.5376424789429,0.696796536445618,2.72820210456848,0.283058941364288,0,0,0
26092,0.0166716,0.596197193488479,0.0105939507484436,-20.1024570465088,1.01016449928284,12.7122030258179,0.702289700508118,2.74101948738098,0.276650249958038,0,0,0
26098,0.0166638,0.612860994413495,0.0105939507484436,-20.1024570465088,1.01016449928284,12.7122030258179,0.702289700508118,2.74101948738098,0.276650249958038,0,0,0
26100,0.016668,0.629528993740678,0.185154497623444,-19.8802890777588,1.16092133522034,12.6130208969116,0.672992825508118,2.71446919441223,0.289467632770538,0,0,0
26104,0.0166649,0.646193893626332,0.185154497623444,-19.8802890777588,1.16092133522034,12.6130208969116,0.672992825508118,2.71446919441223,0.289467632770538,0,0,0
26106,0.0166665,0.66286039352417,0.185154497623444,-19.8802890777588,1.16092133522034,12.6130208969116,0.672992825508118,2.71446919441223,0.289467632770538,0,0,0
26110,0.0166674,0.679527793079615,0.185154497623444,-19.7334995269775,1.20852875709534,12.3392782211304,0.684894680976868,2.68151021003723,0.316017925739288,0,0,0
26112,0.0166676,0.696195393800735,0.185154497623444,-19.7334995269775,1.20852875709534,12.3392782211304,0.684894680976868,2.68151021003723,0.316017925739288,0,0,0
26118,0.0166664,0.712861793115735,-0.0132097601890564,-19.757303237915,0.958589732646942,12.3908529281616,0.684894680976868,2.75383687019348,0.335243999958038,0,0,0
26120,0.0166697,0.729531493037939,-0.0132097601890564,-19.757303237915,0.958589732646942,12.3908529281616,0.684894680976868,2.75383687019348,0.335243999958038,0,0,0
26122,0.0166647,0.746196193620563,-0.0132097601890564,-19.757303237915,0.958589732646942,12.3908529281616,0.684894680976868,2.75383687019348,0.335243999958038,0,0,0
26126,0.0166681,0.762864293530583,0.260532915592194,-20.2770175933838,1.23629975318909,12.7875814437866,0.672992825508118,2.81975483894348,0.341652691364288,0,0,0
26128,0.016667,0.779531292617321,0.260532915592194,-20.2770175933838,1.23629975318909,12.7875814437866,0.672992825508118,2.81975483894348,0.341652691364288,0,0,0
26134,0.0166667,0.79619799181819,0.260532915592194,-20.2770175933838,1.23629975318909,12.7875814437866,0.672992825508118,2.81975483894348,0.341652691364288,0,0,0
26136,0.0166659,0.812863891944289,0.109776079654694,-19.8088779449463,1.08554291725159,12.4146566390991,0.696796536445618,2.73461079597473,0.316017925739288,0,0,0
26140,0.0166676,0.82953149266541,0.212925493717194,-19.8326816558838,1.18472504615784,12.3392782211304,0.678485989570618,2.70165181159973,0.348061382770538,0,0,0
26142,0.0166663,0.846197793260217,0.212925493717194,-19.8326816558838,1.18472504615784,12.3392782211304,0.678485989570618,2.70165181159973,0.348061382770538,0,0,0
26146,0.016669,0.862866792827845,-0.112391889095306,-19.3883457183838,0.859407603740692,12.4384603500366,0.696796536445618,2.64946675300598,0.309609234333038,0,0,0
26148,0.0166653,0.879532093182206,-0.187770307064056,-19.4121494293213,0.831636607646942,12.4662313461304,0.690387845039368,2.64946675300598,0.341652691364288,0,0,0
26154,0.0166666,0.896198693662882,-0.187770307064056,-19.4121494293213,0.831636607646942,12.4662313461304,0.690387845039368,2.64946675300598,0.341652691364288,0,0,0
26156,0.0166674,0.912866093218327,0.137547075748444,-19.3367710113525,1.08554291725159,12.4662313461304,0.678485989570618,2.60369038581848,0.309609234333038,0,0,0
26160,0.0166662,0.929532293230295,0.161350786685944,-19.4359531402588,1.10934662818909,12.4662313461304,0.684894680976868,2.59636616706848,0.354470074176788,0,0,0
26162,0.0166689,0.94620119407773,0.161350786685944,-19.4359531402588,1.10934662818909,12.4662313461304,0.684894680976868,2.59636616706848,0.354470074176788,0,0,0
26166,0.0166654,0.962866593152285,0.284336626529694,-19.4359531402588,1.28390717506409,12.9621419906616,0.672992825508118,2.64305806159973,0.295876324176788,0,0,0
26168,0.0166681,0.979534693062305,0.284336626529694,-19.4359531402588,1.28390717506409,12.9621419906616,0.672992825508118,2.64305806159973,0.295876324176788,0,0,0
26174,0.0166658,0.996200492605567,0.284336626529694,-19.3367710113525,1.23629975318909,13.0097494125366,0.666584134101868,2.64305806159973,0.322426617145538,0,0,0
26176,0.0166673,1.01286779344082,0.486668169498444,-19.2137851715088,1.41086030006409,13.0375204086304,0.649189114570618,2.68151021003723,0.309609234333038,0,0,0
26180,0.0166675,1.0295352935791,0.486668169498444,-19.2137851715088,1.41086030006409,13.0375204086304,0.649189114570618,2.68151021003723,0.309609234333038,0,0,0
