F,DT,T,tau1,tau2,tau3,tau4,tau5,tau6,tau7,con_x,con_y,con_z
0,0.0271484,0.027148399502039,-0.564662396907806,-19.13840675354,0.383333384990692,15.0489339828491,0.875324368476868,2.21642231941223,0.2125633507967,1.5248949796758,2.05926368099245,-2.28545872504808
0,0.016668,0.0438163988292217,-0.564662396907806,-19.13840675354,0.383333384990692,15.0489339828491,0.875324368476868,2.21642231941223,0.2125633507967,1.5248949796758,2.05926368099245,-2.28545872504808
0,0.0166673,0.0604836996644735,-0.163966596126556,-19.6105136871338,0.807832896709442,14.8981771469116,0.893634915351868,2.24297261238098,0.20615465939045,1.06025841076351,1.74245471133186,-1.58439617116077
0,0.0166665,0.0771501995623112,-0.163966596126556,-19.6105136871338,0.807832896709442,14.8981771469116,0.893634915351868,2.24297261238098,0.20615465939045,1.06025841076351,1.74245471133186,-1.58439617116077
0,0.0166673,0.093817500397563,-0.163966596126556,-19.6105136871338,0.807832896709442,14.8981771469116,0.893634915351868,2.24297261238098,0.20615465939045,1.06025841076351,1.74245471133186,-1.58439617116077
0,0.0166667,0.110484199598432,-0.239345014095306,-19.1899814605713,0.708650767803192,14.4260702133179,0.899128079414368,2.12486958503723,0.270241558551788,1.31952008654589,1.73754415099925,-2.58398760522597
0,0.0166673,0.127151500433683,-0.239345014095306,-19.1899814605713,0.708650767803192,14.4260702133179,0.899128079414368,2.12486958503723,0.270241558551788,1.31952008654589,1.73754415099925,-2.58398760522597
0,0.0166668,0.14381830021739,-0.239345014095306,-19.1899814605713,0.708650767803192,14.4260702133179,0.899128079414368,2.12486958503723,0.270241558551788,1.31952008654589,1.73754415099925,-2.58398760522597
0,0.0166665,0.160484800115228,-0.163966596126556,-20.0548496246338,0.831636607646942,14.5014486312866,0.887226223945618,2.21642231941223,0.309609234333038,1.22447372264126,1.746729277811,-2.45989588829757
0,0.0166672,0.177152000367641,-0.163966596126556,-20.0548496246338,0.831636607646942,14.5014486312866,0.887226223945618,2.21642231941223,0.309609234333038,1.22447372264126,1.746729277811,-2.45989588829757
0,0.0166677,0.193819699808955,-0.0885881781578064,-20.995096206665,0.807832896709442,15.0211629867554,0.917438626289368,2.27593159675598,0.322426617145538,0.203625459241942,1.57746162461758,-0.492790114378069
0,0.016666,0.210485700517893,-0.0132097601890564,-20.9712924957275,0.831636607646942,14.9973592758179,0.899128079414368,2.28874897956848,0.341652691364288,0.224520063774468,1.60626167452582,-0.608668199225051
0,0.0166674,0.227153100073338,-0.0132097601890564,-20.9712924957275,0.831636607646942,14.9973592758179,0.899128079414368,2.28874897956848,0.341652691364288,0.224520063774468,1.60626167452582,-0.608668199225051
0,0.0166664,0.243819499388337,0.0343976616859436,-21.1656894683838,0.807832896709442,14.6760091781616,0.857929348945618,2.27593159675598,0.360878765583038,0.86909989759031,1.99885550987005,-2.53528608017714
0,0.0166667,0.260486198589206,0.0343976616859436,-21.1656894683838,0.807832896709442,14.6760091781616,0.857929348945618,2.27593159675598,0.360878765583038,0.86909989759031,1.99885550987005,-2.53528608017714
0,0.016667,0.277153197675943,-0.0647844672203064,-22.0345249176025,0.732454478740692,14.6482381820679,0.881733059883118,2.30889058113098,0.418556988239288,1.00438934642859,2.20185729725839,-2.66734930450288
0,0.0166673,0.293820498511195,0.0343976616859436,-22.3043003082275,0.784029185771942,14.8505697250366,0.857929348945618,2.44621968269348,0.380104839801788,0.812613596764092,2.26077936557228,-2.32566660196667
0,0.0166672,0.310487698763609,0.0343976616859436,-22.3043003082275,0.784029185771942,14.8505697250366,0.857929348945618,2.44621968269348,0.380104839801788,0.812613596764092,2.26077936557228,-2.32566660196667
0,0.0166667,0.327154397964478,-0.0370134711265564,-22.2566928863525,0.657076060771942,14.6998128890991,0.881733059883118,2.31529927253723,0.463417828083038,0.359058427667316,2.01357192948889,-1.37937026303543
0,0.0166669,0.343821298331022,-0.0370134711265564,-22.2566928863525,0.657076060771942,14.6998128890991,0.881733059883118,2.31529927253723,0.463417828083038,0.359058427667316,2.01357192948889,-1.37937026303543
0,0.0166671,0.360488398000598,-0.0370134711265564,-22.1337070465088,0.633272349834442,14.4022665023804,0.863422513008118,2.30156636238098,0.457009136676788,0.73853095520984,2.11085464943807,-2.82397909709478
0,0.0166668,0.377155197784305,-0.0647844672203064,-22.3796787261963,0.609468638896942,14.7474203109741,0.857929348945618,2.40044331550598,0.431374371051788,0.821131091810369,2.25722962971844,-2.76233610794173
0,0.0166666,0.39382179826498,-0.0647844672203064,-22.3796787261963,0.609468638896942,14.7474203109741,0.857929348945618,2.40044331550598,0.431374371051788,0.821131091810369,2.25722962971844,-2.76233610794173
0,0.0166673,0.410489099100232,-0.290919721126556,-22.328104019165,0.534090220928192,14.5490560531616,0.857929348945618,2.34825825691223,0.463417828083038,0.807028696598888,2.31376283843041,-2.54902722843385
0,0.0166667,0.427155798301101,-0.290919721126556,-22.328104019165,0.534090220928192,14.5490560531616,0.857929348945618,2.34825825691223,0.463417828083038,0.807028696598888,2.31376283843041,-2.54902722843385
0,0.0166669,0.443822698667645,-0.215541303157806,-22.3558750152588,0.482515513896942,14.5490560531616,0.839618802070618,2.40044331550598,0.437783062458038,0.797765185642845,2.35599523646757,-2.5606868253303
0,0.0166667,0.460489397868514,-0.163966596126556,-21.8123569488525,0.506319224834442,14.2792806625366,0.869831204414368,2.26311421394348,0.469826519489288,0.704177818358585,2.30738522878313,-2.44700228641263
